date,tau,K,call_option_price,S,r,put_option_price,Midquote,Contribution by strike,,date,tau,K,call_option_price,S,r,put_option_price,Midquote,Contribution by strike,,
01-02-2015,15,1965,98.55,2058.2,0.0015,5.15,51.85,6.7146E-05,,,,,,,,,,,,
01-02-2015,15,1970,93.95,2058.2,0.0015,5.55,49.75,6.4096E-05,,,,,,,,,,,,
01-02-2015,15,1975,89.4,2058.2,0.0015,6,47.7,6.1144E-05,,01-02-2015,35,1975,98.55,2058.2,0.0019,16.7,57.625,7.38797E-05,,
01-02-2015,15,1980,85.05,2058.2,0.0015,6.45,45.75,5.83486E-05,,01-02-2015,35,1980,94.25,2058.2,0.0019,17.45,55.85,7.123E-05,T1,T2
01-02-2015,15,1985,80.3,2058.2,0.0015,6.9,43.6,5.53268E-05,,01-02-2015,35,1985,90.05,2058.2,0.0019,18.25,54.15,6.87144E-05,0.041,0.095
01-02-2015,15,1990,75.95,2058.2,0.0015,7.5,41.725,5.26818E-05,,01-02-2015,35,1990,85.9,2058.2,0.0019,19.1,52.5,6.62862E-05,,
01-02-2015,15,1995,71.6,2058.2,0.0015,8.05,39.825,5.00311E-05,,01-02-2015,35,1995,81.75,2058.2,0.0019,20,50.875,6.39129E-05,,
01-02-2015,15,2000,67.35,2058.2,0.0015,8.65,38,0.0000475,,01-02-2015,35,2000,77.75,2058.2,0.0019,21,49.375,6.17188E-05,,
01-02-2015,15,2005,63.05,2058.2,0.0015,9.35,36.2,4.50246E-05,,01-02-2015,35,2005,73.6,2058.2,0.0019,22,47.8,5.94524E-05,,
01-02-2015,15,2010,58.75,2058.2,0.0015,10.05,34.4,4.25732E-05,,01-02-2015,35,2010,69.7,2058.2,0.0019,22.95,46.325,5.73315E-05,,
01-02-2015,15,2015,54.55,2058.2,0.0015,10.95,32.75,4.03303E-05,,01-02-2015,35,2015,65.75,2058.2,0.0019,24.05,44.9,5.52925E-05,,
01-02-2015,15,2020,50.4,2058.2,0.0015,11.8,31.1,3.8109E-05,,01-02-2015,35,2020,61.85,2058.2,0.0019,25.25,43.55,5.33649E-05,,
01-02-2015,15,2025,46.35,2058.2,0.0015,12.75,29.55,3.60311E-05,,01-02-2015,35,2025,58.15,2058.2,0.0019,26.45,42.3,5.15775E-05,,
01-02-2015,15,2030,42.45,2058.2,0.0015,13.85,28.15,3.41552E-05,,01-02-2015,35,2030,54.4,2058.2,0.0019,27.7,41.05,4.98071E-05,,
01-02-2015,15,2035,38.6,2058.2,0.0015,14.95,26.775,3.23274E-05,,01-02-2015,35,2035,50.85,2058.2,0.0019,29.1,39.975,4.82647E-05,,
01-02-2015,15,2040,34.85,2058.2,0.0015,16.25,25.55,3.06973E-05,,01-02-2015,35,2040,47.35,2058.2,0.0019,30.55,38.95,4.67969E-05,,
01-02-2015,15,2045,31.1,2058.2,0.0015,17.65,24.375,2.91426E-05,,01-02-2015,35,2045,43.9,2058.2,0.0019,32.05,37.975,4.54026E-05,,
01-02-2015,15,2050,27.15,2058.2,0.0015,19.15,23.15,2.75431E-05,,01-02-2015,35,2050,40.5,2058.2,0.0019,33.75,37.125,4.41701E-05,,
01-02-2015,15,2055,24.3,2058.2,0.0015,20.8,22.55,2.66989E-05,,01-02-2015,35,2055,37.3,2058.2,0.0019,35.45,36.375,4.30675E-05,,
01-02-2015,15,2060,20.85,2058.2,0.0015,22.65,21.75,2.56268E-05,,01-02-2015,35,2060,34.1,2058.2,0.0019,37.3,35.7,4.20633E-05,,
01-02-2015,15,2065,17.95,2058.2,0.0015,24.7,21.325,2.50045E-05,,01-02-2015,35,2065,31.15,2058.2,0.0019,39.25,35.2,4.12736E-05,,
01-02-2015,15,2070,15.25,2058.2,0.0015,26.9,21.075,2.45922E-05,,01-02-2015,35,2070,28.15,2058.2,0.0019,41.4,34.775,4.05785E-05,,
01-02-2015,15,2075,12.65,2058.2,0.0015,29.2,20.925,2.42996E-05,,01-02-2015,35,2075,25.4,2058.2,0.0019,43.6,34.5,4.00639E-05,,
01-02-2015,15,2080,10.2,2058.2,0.0015,31.9,21.05,2.43274E-05,,01-02-2015,35,2080,22.75,2058.2,0.0019,46,34.375,3.9727E-05,,
01-02-2015,15,2085,8.25,2058.2,0.0015,34.8,21.525,2.47572E-05,,01-02-2015,35,2085,20.3,2058.2,0.0019,48.5,34.4,3.95655E-05,,
01-02-2015,15,2090,6.45,2058.2,0.0015,37.85,22.15,2.53543E-05,,01-02-2015,35,2090,18,2058.2,0.0019,51.1,34.55,3.95481E-05,,
01-02-2015,15,2095,4.95,2058.2,0.0015,41.3,23.125,2.63441E-05,,01-02-2015,35,2095,15.8,2058.2,0.0019,54.05,34.925,3.97867E-05,,
01-02-2015,15,2100,3.7,2058.2,0.0015,45.2,24.45,2.77211E-05,,01-02-2015,35,2100,13.75,2058.2,0.0019,56.95,35.35,4.00794E-05,,
01-02-2015,15,2105,2.75,2058.2,0.0015,49.3,26.025,2.93668E-05,,01-02-2015,35,2105,11.85,2058.2,0.0019,60.05,35.95,4.05662E-05,,
01-02-2015,15,2110,1.975,2058.2,0.0015,53.6,27.7875,3.12072E-05,,01-02-2015,35,2110,10.2,2058.2,0.0019,63.4,36.8,4.13288E-05,,
01-02-2015,35,1975,98.55,2058.2,0.0019,16.7,,,,01-02-2015,35,2115,8.65,2058.2,0.0019,66.95,,,,
01-02-2015,35,1980,94.25,2058.2,0.0019,17.45,,,,01-02-2015,35,2120,7.35,2058.2,0.0019,70.5,,,,
01-02-2015,35,1985,90.05,2058.2,0.0019,18.25,,,,01-02-2015,35,2125,6.15,2058.2,0.0019,74.3,,,,
01-02-2015,35,1990,85.9,2058.2,0.0019,19.1,,,,01-02-2015,35,2130,5.15,2058.2,0.0019,78.25,,,,
01-02-2015,35,1995,81.75,2058.2,0.0019,20,,,,01-02-2015,35,2135,4.25,2058.2,0.0019,82.35,,,,
01-02-2015,35,2000,77.75,2058.2,0.0019,21,,,,01-02-2015,35,2140,3.5,2058.2,0.0019,86.65,,,,
01-02-2015,35,2005,73.6,2058.2,0.0019,22,,,,01-02-2015,35,2145,2.8,2058.2,0.0019,91,,,,
01-02-2015,35,2010,69.7,2058.2,0.0019,22.95,,,,01-02-2015,35,2150,2.25,2058.2,0.0019,95.3,,,,
01-02-2015,35,2015,65.75,2058.2,0.0019,24.05,,,,01-02-2015,35,2155,1.925,2058.2,0.0019,99.85,,,,
01-02-2015,35,2020,61.85,2058.2,0.0019,25.25,,,,,,,,,,,,,,
01-02-2015,35,2025,58.15,2058.2,0.0019,26.45,,,,,,,,,,,,,,
01-02-2015,35,2030,54.4,2058.2,0.0019,27.7,,,,,,,,,,,,,,
01-02-2015,35,2035,50.85,2058.2,0.0019,29.1,,,,,,,,,,,,,,
01-02-2015,35,2040,47.35,2058.2,0.0019,30.55,,,,,,,,,,,,,,
01-02-2015,35,2045,43.9,2058.2,0.0019,32.05,,,,,,,,,,,,,,
01-02-2015,35,2050,40.5,2058.2,0.0019,33.75,,,,,,,,,,,,,,
01-02-2015,35,2055,37.3,2058.2,0.0019,35.45,,,,,,,,,,,,,,
01-02-2015,35,2060,34.1,2058.2,0.0019,37.3,,,,,,,,,,,,,,
01-02-2015,35,2065,31.15,2058.2,0.0019,39.25,,,,,,,,,,,,,,
01-02-2015,35,2070,28.15,2058.2,0.0019,41.4,,,,,,,,,,,,,,
01-02-2015,35,2075,25.4,2058.2,0.0019,43.6,,,,,,,,,,,,,,
01-02-2015,35,2080,22.75,2058.2,0.0019,46,,,,,,,,,,,,,,
01-02-2015,35,2085,20.3,2058.2,0.0019,48.5,,,,,,,,,,,,,,
01-02-2015,35,2090,18,2058.2,0.0019,51.1,,,,,,,,,,,,,,
01-02-2015,35,2095,15.8,2058.2,0.0019,54.05,,,,,,,,,,,,,,
01-02-2015,35,2100,13.75,2058.2,0.0019,56.95,,,,,,,,,,,,,,
01-02-2015,35,2105,11.85,2058.2,0.0019,60.05,,,,,,,,,,,,,,
01-02-2015,35,2110,10.2,2058.2,0.0019,63.4,,,,,,,,,,,,,,
01-02-2015,35,2115,8.65,2058.2,0.0019,66.95,,,,,,,,,,,,,,
01-02-2015,35,2120,7.35,2058.2,0.0019,70.5,,,,,,,,,,,,,,
01-02-2015,35,2125,6.15,2058.2,0.0019,74.3,,,,,,,,,,,,,,
01-02-2015,35,2130,5.15,2058.2,0.0019,78.25,,,,,,,,,,,,,,
01-02-2015,35,2135,4.25,2058.2,0.0019,82.35,,,,,,,,,,,,,,
01-02-2015,35,2140,3.5,2058.2,0.0019,86.65,,,,,,,,,,,,,,
01-02-2015,35,2145,2.8,2058.2,0.0019,91,,,,,,,,,,,,,,
01-02-2015,35,2150,2.25,2058.2,0.0019,95.3,,,,,,,,,,,,,,
01-02-2015,35,2155,1.925,2058.2,0.0019,99.85,,,,,,,,,,,,,,
01-05-2015,18,1935,95.75,2020.58,0.0015,10.1,,,,,,,,,,,,,,
01-05-2015,18,1940,91.4,2020.58,0.0015,10.75,,,,,,,,,,,,,,
01-05-2015,18,1945,87.1,2020.58,0.0015,11.4,,,,,,,,,,,,,,
01-05-2015,18,1950,82.8,2020.58,0.0015,12.15,,,,,,,,,,,,,,
01-05-2015,18,1955,78.6,2020.58,0.0015,12.95,,,,,,,,,,,,,,
01-05-2015,18,1960,74.45,2020.58,0.0015,13.75,,,,,,,,,,,,,,
01-05-2015,18,1965,70.35,2020.58,0.0015,14.6,,,,,,,,,,,,,,
01-05-2015,18,1970,66.3,2020.58,0.0015,15.6,,,,,,,,,,,,,,
01-05-2015,18,1975,62.3,2020.58,0.0015,16.6,,,,,,,,,,,,,,
01-05-2015,18,1980,58.55,2020.58,0.0015,17.65,,,,,,,,,,,,,,
01-05-2015,18,1985,54.55,2020.58,0.0015,18.8,,,,,,,,,,,,,,
01-05-2015,18,1990,50.75,2020.58,0.0015,20,,,,,,,,,,,,,,
01-05-2015,18,1995,47,2020.58,0.0015,21.3,,,,,,,,,,,,,,
01-05-2015,18,2000,43.45,2020.58,0.0015,22.65,,,,,,,,,,,,,,
01-05-2015,18,2005,39.9,2020.58,0.0015,24.15,,,,,,,,,,,,,,
01-05-2015,18,2010,36.5,2020.58,0.0015,25.75,,,,,,,,,,,,,,
01-05-2015,18,2015,33.2,2020.58,0.0015,27.45,,,,,,,,,,,,,,
01-05-2015,18,2020,30.05,2020.58,0.0015,29.25,,,,,,,,,,,,,,
01-05-2015,18,2025,27,2020.58,0.0015,31.1,,,,,,,,,,,,,,
01-05-2015,18,2030,23.95,2020.58,0.0015,33.2,,,,,,,,,,,,,,
01-05-2015,18,2035,21.1,2020.58,0.0015,35.7,,,,,,,,,,,,,,
01-05-2015,18,2040,18.5,2020.58,0.0015,38.1,,,,,,,,,,,,,,
01-05-2015,18,2045,16.05,2020.58,0.0015,40.65,,,,,,,,,,,,,,
01-05-2015,18,2050,13.75,2020.58,0.0015,43.4,,,,,,,,,,,,,,
01-05-2015,18,2055,11.65,2020.58,0.0015,46.3,,,,,,,,,,,,,,
01-05-2015,18,2060,9.8,2020.58,0.0015,49.35,,,,,,,,,,,,,,
01-05-2015,18,2065,8.1,2020.58,0.0015,52.7,,,,,,,,,,,,,,
01-05-2015,18,2070,6.65,2020.58,0.0015,56.2,,,,,,,,,,,,,,
01-05-2015,18,2075,5.35,2020.58,0.0015,59.85,,,,,,,,,,,,,,
01-05-2015,18,2080,4.2,2020.58,0.0015,63.75,,,,,,,,,,,,,,
01-05-2015,18,2085,3.35,2020.58,0.0015,67.75,,,,,,,,,,,,,,
01-05-2015,18,2090,2.6,2020.58,0.0015,71.85,,,,,,,,,,,,,,
01-05-2015,18,2095,2.025,2020.58,0.0015,76.3,,,,,,,,,,,,,,
01-05-2015,18,2100,1.575,2020.58,0.0015,80.85,,,,,,,,,,,,,,
01-05-2015,39,1945,96.9,2020.58,0.0021,24.3,,,,,,,,,,,,,,
01-05-2015,39,1950,92.9,2020.58,0.0021,25.3,,,,,,,,,,,,,,
01-05-2015,39,1955,88.95,2020.58,0.0021,26.3,,,,,,,,,,,,,,
01-05-2015,39,1960,85.05,2020.58,0.0021,27.4,,,,,,,,,,,,,,
01-05-2015,39,1965,81.2,2020.58,0.0021,28.5,,,,,,,,,,,,,,
01-05-2015,39,1970,77.3,2020.58,0.0021,29.7,,,,,,,,,,,,,,
01-05-2015,39,1975,73.55,2020.58,0.0021,30.9,,,,,,,,,,,,,,
01-05-2015,39,1980,69.85,2020.58,0.0021,32.15,,,,,,,,,,,,,,
01-05-2015,39,1985,66.15,2020.58,0.0021,33.5,,,,,,,,,,,,,,
